Date,Meal Type,Menu Items
2025.06.16( 월 ),건강한끼(11:30~13:30),"육개장 (우:호주산), 명란떡갈비 (돈:국산), 허니버터감자구이, 백미밥, 부추적채겉절이, 깍두기"
2025.06.17( 화 ),건강한끼(11:30~13:30),"제육볶음 (돈:국산), 들기름막국수, 황태해장국, 서리태콩밥, 아삭이고추무침, 포기김치"
2025.06.18( 수 ),건강한끼(11:30~13:30),"부대찌개 (돈:국산), 오코노미야끼 (오징어:중국산), 김자반, 백미밥, 시금치나물, 깍두기"
2025.06.19( 목 ),건강한끼(11:30~13:30),"불낙볶음 (돈:국산, 낙지:베트남산), 미역국, 고기왕만두찜 (돈:국산), 백미밥, 콩나물, 포기김치"
2025.06.20( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.21( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.22( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.09( 월 ),건강한끼(11:30~13:30),"짬뽕국 (오징어:국산), 언양식불고기 (돈:국산), 옹심이만두 (돈:국산), 백미밥, 오이탕탕이, 깍두기"
2025.06.10( 화 ),건강한끼(11:30~13:30),"김치사태찜 (돈:국산), 연두부*양념장, 바지락수제비, 백미밥, 얼갈이된장무침, 깍두기"
2025.06.11( 수 ),건강한끼(11:30~13:30),"순두부찌개, 떡갈비 (돈:국산), 멸치마늘쫑볶음, 백미밥, 콩나물무침, 포기김치"
2025.06.12( 목 ),건강한끼(11:30~13:30),"돼지김치짜글이 (돈:국산), 계란후라이*햄구이(돈:국산), 시금치나물, 백미밥, 도시락김, 깍두기"
2025.06.13( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.14( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.15( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.02( 월 ),건강한끼(11:30~13:30),"육개장 (우:호주산), 치킨까스 (계:국산), 백미밥, 꽈리메알장조림, 그래놀라샐러드, 포기김치"
2025.06.03( 화 ),건강한끼(11:30~13:30),미운영
2025.06.04( 수 ),건강한끼(11:30~13:30),"묵은지찜닭 (계:국산), 콩나물국, 백미밥, 어묵볶음, 열무된장나물, 깍두기"
